n,ms,bfs,dfs,bfs2,dfs2
4,100,0.9,0.7,0.9,0.7
4,100,1.3,1.3,1.3,1.3
4,100,2.5,1.5,1.9,1.5
4,100,1.5,0.7,0.9,0.7
4,100,3.1,1.3,1.5,1.3
4,100,1.7,0.9,1.1,0.9
10,100,31.9,11.1,27.3,11.1
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
2,100,0.3,0.3,0.3,0.3
